WptNo,Hobo_SN,Pole_No,Location,DBH_cm,DistFromLogger_m,Species,,,,
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,9,3,Rhodendron,,,6,4.285714286
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,7,4,Rhodendron,,,7,5
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,8,4,Rhodendron,,,8,5.714285714
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,76,4,Quercus garryana,,,9,6.428571429
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,72.5,9,Quercus garryana,,,10,7.142857143
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,42.5,8,Prunus,,,11,7.857142857
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,94,6,Pseudotsuga,,,12,8.571428571
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,42,7,Quercus garryana,,,13,9.285714286
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,92,9,Pseudotsuga,,,14,10
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,42,10,Quercus garryana,,,,
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,42,9,Quercus garryana,,,,
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,91,9,Quercus garryana,,,,
47,21223102,TP13987/A1378019,S. Tacoma Way between 38th and 42th,30,6,Acer,,,,
47,21223102,TP13987/A1378019,S. Tacoma Way between 38th and 42th,30,4,Acer,,,,
48,21223131,TP13988/A1378018,S. Tacoma Way between 38th and 42th,NA,NA,NA,,,,
49,21223101,TP15706/A1278025 - Jointly Owned,S. Tacoma Way at 38th,NA,NA,NA,,,,
51,BT21302953,TP6325/A1341104 - Jointly Owned,"Pine at 42nd (old Sequoia integraticve therapies building, 4042 pine st)",,,,,,,
52,BT21302950,TP6340- Tacoma Power,Pine between 45th and 47th,NA,NA,NA,,,,
53,B121302952,TP6323 - Jointly Owned ,Pine between 40th and 43td ,NA,NA,NA,,,,
54,BT 21302953,TP6335 - Jointly Owned,Pne between 45 and 43,10,2,Lquidumbar,,,,
54,BT 21302953,TP6335 - Jointly Owned,Pne between 45 and 43,20,3,Ulmus,,,,
54,BT 21302953,TP6335 - Jointly Owned,Pne between 45 and 43,14,10,Lquidumbar,,,,
54,BT 21302953,TP6335 - Jointly Owned,Pne between 45 and 43,10,4,Ulmus,,,,
55,BT21302951,TP21629,California & Montana,,,,,,,
56,BT21302961,TP21631/A1353441,outside Zenith,7,2,Acer,,,,
56,BT21302961,TP21631/A1353441,outside Zenith,6,6,Pinus,,,,
56,BT21302961,TP21631/A1353441,outside Zenith,8,8,Acer,,,,
56,BT21302961,TP21631/A1353441,outside Zenith,8,3,Thuja,,,,
57,BT21302955,TP21374,Clark,NA,NA,NA,,,,
58,BT21302966,TP21898?,near Lincoln Park,NA,NA,NA,,,,
59,BT21302944,TP21897/A1353217,near playground next to big road,,,,,,,
60,BT21302971,TP25239/A1353202,36th & Pine,NA,NA,NA,,,,
61,BT31302979,TP23810,35th & Pine,NA,NA,NA,,,,
62,BT21302962,TP6319,38th & Pine (Taco Time),,,,,,,
63,BT21302967,TP25887,"40/38th & Pine, Pacific Southern",NA,NA,NA,,,,
