WptNo,Hobo_SN,Pole_No,Location,Install_Date,Install_Time,Data_collection_StartDate,Data_collection_StartTime,LoggingInterval,Shield?,Winter2021Notes,Spring2022DownloadDate,Summer2022DownloadDate,Fall2022Download Date,ReplacementHobo_SN,Winter2023DownloadDate,Spring2023DownloadRelaunchDate,Spring2023LoggingInterval,Data_collection_EndDate,Data_collection_EndTime,Logger Removed Date,Notes
52,BT21302965,TP6340,Pine between 45th and 47th,4/28/2023,12:36,4/28/2023,13:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
54,BT21302953,TP6335,Pine between 45 and 43,5/24/2022,12:15,5/24/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,NA,NA,,missing on 1/6/2023,,,
54,BT21302975,TP6335,Pine between 45 and 43,1/6/2023,,1/6/2023,,1 hour,Yes,,NA,NA,NA,,NA,4/28/2023,1 min,,,,
53,B121302952,TP6323,Pine between 40th and 43td ,5/24/2022,12:45,5/24/2022,13:00:00,1 hour,Yes,,NA,6/29/2022,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
51,BT21302963,TP6325/A1341104d,Pine at 42nd (Sunrise Dental 4042 pine st),5/24/2022,11:40,5/24/2022,12:00:00,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,1 min,,,,
51,BT21302949,TP6325/A1341104d,Pine at 42nd (Sunrise Dental 4042 pine st),1/6/2023,,1/6/2023,,1 hour,Yes,,NA,NA,NA,,NA,4/28/2023,1 min,,,,problem reporting data in the field on 4/28/2023
55,BT21302951,TP21629/A1353774,California & Montana,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
56,BT21302961,TP21631/A1353441,outside Zenith,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,NA,NA,missing on 4/28/2023,,,
56,BT21302981,TP21631/A1353441,outside Zenith,4/28/2023,,4/28/2023,,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
57,BT21302955,TP21374,Clark,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
58,BT21302966,TP21898?/A1353781,"California & Lewis Place, near Lincoln Park",6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
59,BT21302944,TP21897/A1353217,near playground next to big road,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
60,BT21302971,TP25239/A1353202,36th & Pine,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
61,BT31302979,TP23810,35th & Pine,6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,NA,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
62,BT21302962,TP6319,38th & Pine (Taco Time),6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,6/29/2022,10/5/2022,,NA,NA,NA,missing on 1/6/2023,,,
62,9784301,TP6319,38th & Pine (Taco Time),1/6/2023,14:15:00,1/6/2023,13:00:00,1 hour,Yes,,NA,NA,NA,,NA,NA,NA,missing on 4/28/2023,,,
62,BT21302945,TP6319,38th & Pine (Taco Time),4/28/2023,,4/28/2023,,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
63,BT21302960,TP25887,"40/38th & Pine, Pacific Southern",6/8/2022,10am-12:30pm,6/8/2022,13:00:00,1 hour,Yes,,NA,6/29/2022,10/5/2022,,1/6/2023,4/28/2023,1 min,,,,
